BASKET_NUM                      ,HSHD_NUM        ,PURCHASE_,PRODUCT_NUM                     ,     SPEND,     UNITS,STORE_R,  WEEK_NUM,YEAR
2,10001,17-Aug-18,7249900,0.59,1,CENTRAL,32,2018
9,20001,17-Aug-18,7438000,3.49,1,WEST   ,32,2018
